,ex_name,userId,Reference,SampleA,SampleB,choice_answerTimbre,choice_answerRhythm,choice_answerMelody,choice_answerTotal,choice_time
2085,ex202404,user50,set48/1/residuals/X_2005-1.wav,set48/1/residuals/A_2032-15.wav,set48/1/residuals/B_2024-24.wav,A-,A+,A-,A+,35901
2088,ex202404,user50,set48/3/guitar/X_1963-14.wav,set48/3/guitar/A_2062-31.wav,set48/3/guitar/B_2044-6.wav,B-,B+,B+,B-,71204
2089,ex202404,user50,set48/3/drums/X_1963-3.wav,set48/3/drums/A_2062-13.wav,set48/3/drums/B_2044-10.wav,A+,A+,A-,A+,29045
2090,ex202404,user50,set48/2/drums/X_1975-8.wav,set48/2/drums/A_2063-57.wav,set48/2/drums/B_1902-23.wav,A+,A+,A-,A+,27983
2092,ex202404,user50,set48/2/piano/X_1975-46.wav,set48/2/piano/A_2063-26.wav,set48/2/piano/B_1902-37.wav,B-,B-,B-,B+,33440
2093,ex202404,user50,set48/2/guitar/X_1975-41.wav,set48/2/guitar/A_2063-65.wav,set48/2/guitar/B_1902-13.wav,A-,A-,A-,A+,27512
2094,ex202404,user50,set48/1/guitar/X_2005-19.wav,set48/1/guitar/A_2032-10.wav,set48/1/guitar/B_2024-28.wav,A+,A-,A+,A-,29632
2095,ex202404,user50,set48/3/bass/X_1963-19.wav,set48/3/bass/A_2062-22.wav,set48/3/bass/B_2044-7.wav,A-,A-,A-,A+,28932
2097,ex202404,user50,set48/0/piano/X_1986-45.wav,set48/0/piano/A_2026-18.wav,set48/0/piano/B_1897-41.wav,A-,NA,A-,A-,50219
2100,ex202404,user50,set48/0/bass/X_1986-51.wav,set48/0/bass/A_2026-30.wav,set48/0/bass/B_1897-36.wav,A+,A-,A+,A+,28438
2103,ex202404,user50,set48/1/drums/X_2005-7.wav,set48/1/drums/A_2032-16.wav,set48/1/drums/B_2024-13.wav,B-,NA,NA,B-,32468
2105,ex202404,user50,set48/1/piano/X_2005-8.wav,set48/1/piano/A_2032-24.wav,set48/1/piano/B_2024-18.wav,NA,NA,A-,A-,28141
2109,ex202404,user50,set48/0/drums/X_1986-44.wav,set48/0/drums/A_2026-6.wav,set48/0/drums/B_1897-45.wav,NA,NA,A-,A-,25299
2110,ex202404,user50,set48/1/bass/X_2005-19.wav,set48/1/bass/A_2032-28.wav,set48/1/bass/B_2024-46.wav,A-,A-,NA,A-,24850
2115,ex202404,user50,set48/3/piano/X_1963-37.wav,set48/3/piano/A_2062-28.wav,set48/3/piano/B_2044-29.wav,NA,A-,NA,A-,24472
2116,ex202404,user50,set48/2/residuals/X_1975-36.wav,set48/2/residuals/A_2063-8.wav,set48/2/residuals/B_1902-21.wav,A+,A-,A+,A+,25486
2120,ex202404,user50,set48/3/residuals/X_1963-21.wav,set48/3/residuals/A_2062-16.wav,set48/3/residuals/B_2044-10.wav,NA,NA,B-,B-,24014
2121,ex202404,user50,set48/2/bass/X_1975-19.wav,set48/2/bass/A_2063-35.wav,set48/2/bass/B_1902-36.wav,A-,NA,A-,A-,27086
2123,ex202404,user50,set48/0/guitar/X_1986-48.wav,set48/0/guitar/A_2026-21.wav,set48/0/guitar/B_1897-27.wav,NA,NA,A-,A-,28096
2124,ex202404,user50,set48/0/residuals/X_1986-14.wav,set48/0/residuals/A_2026-19.wav,set48/0/residuals/B_1897-37.wav,NA,NA,B-,B-,23440
2126,ex202404,user51,set51/3/residuals/X_2096-5.wav,set51/3/residuals/A_2081-14.wav,set51/3/residuals/B_2052-40.wav,A-,NA,A-,A-,61071
2132,ex202404,user51,set51/2/bass/X_1959-14.wav,set51/2/bass/A_1986-23.wav,set51/2/bass/B_1952-18.wav,A-,A+,A-,A-,24859
2133,ex202404,user51,set51/3/piano/X_2096-20.wav,set51/3/piano/A_2081-42.wav,set51/3/piano/B_2052-38.wav,B+,B-,B-,B+,21846
2134,ex202404,user51,set51/2/piano/X_1959-47.wav,set51/2/piano/A_1986-48.wav,set51/2/piano/B_1952-34.wav,NA,A-,A-,A-,29387
2135,ex202404,user51,set51/2/residuals/X_1959-21.wav,set51/2/residuals/A_1986-25.wav,set51/2/residuals/B_1952-17.wav,NA,B-,B-,B-,23584
2136,ex202404,user51,set51/0/guitar/X_1880-35.wav,set51/0/guitar/A_1990-59.wav,set51/0/guitar/B_1985-25.wav,NA,A-,B-,B-,42794
2137,ex202404,user51,set51/1/residuals/X_1949-44.wav,set51/1/residuals/A_2002-43.wav,set51/1/residuals/B_2036-47.wav,B-,B-,B-,B-,31277
2139,ex202404,user51,set51/1/guitar/X_1949-28.wav,set51/1/guitar/A_2002-23.wav,set51/1/guitar/B_2036-22.wav,NA,B+,B-,B-,27255
2140,ex202404,user51,set51/3/bass/X_2096-5.wav,set51/3/bass/A_2081-4.wav,set51/3/bass/B_2052-39.wav,A-,A-,A-,A-,37153
2141,ex202404,user51,set51/2/drums/X_1959-10.wav,set51/2/drums/A_1986-20.wav,set51/2/drums/B_1952-30.wav,B-,A-,A-,A-,32071
2144,ex202404,user51,set51/0/residuals/X_1880-24.wav,set51/0/residuals/A_1990-77.wav,set51/0/residuals/B_1985-4.wav,A-,NA,NA,A-,45126
2148,ex202404,user51,set51/0/bass/X_1880-38.wav,set51/0/bass/A_1990-29.wav,set51/0/bass/B_1985-7.wav,NA,B-,NA,B-,31291
2150,ex202404,user51,set51/3/drums/X_2096-12.wav,set51/3/drums/A_2081-33.wav,set51/3/drums/B_2052-33.wav,A-,A-,A+,A-,27852
2152,ex202404,user51,set51/0/drums/X_1880-29.wav,set51/0/drums/A_1990-29.wav,set51/0/drums/B_1985-39.wav,A-,A+,A+,A-,23470
2155,ex202404,user51,set51/0/piano/X_1880-25.wav,set51/0/piano/A_1990-19.wav,set51/0/piano/B_1985-27.wav,A-,NA,A-,A-,27304
2159,ex202404,user51,set51/2/guitar/X_1959-22.wav,set51/2/guitar/A_1986-10.wav,set51/2/guitar/B_1952-29.wav,NA,B-,B-,B-,47497
2162,ex202404,user51,set51/1/piano/X_1949-32.wav,set51/1/piano/A_2002-30.wav,set51/1/piano/B_2036-21.wav,B-,B-,B-,B-,40637
2165,ex202404,user51,set51/3/guitar/X_2096-24.wav,set51/3/guitar/A_2081-11.wav,set51/3/guitar/B_2052-17.wav,NA,B-,NA,B-,28604
2166,ex202404,user51,set51/1/drums/X_1949-48.wav,set51/1/drums/A_2002-35.wav,set51/1/drums/B_2036-24.wav,B-,B+,NA,B-,23523
2167,ex202404,user51,set51/1/bass/X_1949-19.wav,set51/1/bass/A_2002-13.wav,set51/1/bass/B_2036-17.wav,B-,B-,B-,B-,44116
2169,ex202404,user52,set12/2/residuals/X_2081-16.wav,set12/2/residuals/A_1972-22.wav,set12/2/residuals/B_1996-53.wav,NA,A-,A-,A-,22107
2172,ex202404,user52,set12/2/bass/X_2081-35.wav,set12/2/bass/A_1972-9.wav,set12/2/bass/B_1996-20.wav,B+,A-,A-,A-,20697
2174,ex202404,user52,set12/1/bass/X_2026-9.wav,set12/1/bass/A_2042-22.wav,set12/1/bass/B_1886-47.wav,B-,A-,A-,A-,45749
2175,ex202404,user52,set12/1/guitar/X_2026-5.wav,set12/1/guitar/A_2042-35.wav,set12/1/guitar/B_1886-22.wav,B-,B-,B-,B-,24224
2176,ex202404,user52,set12/0/guitar/X_1876-8.wav,set12/0/guitar/A_2086-11.wav,set12/0/guitar/B_1951-22.wav,A-,B-,A-,A-,21719
2177,ex202404,user52,set12/0/drums/X_1876-29.wav,set12/0/drums/A_2086-21.wav,set12/0/drums/B_1951-5.wav,A-,A-,A-,A-,19660
2178,ex202404,user52,set12/0/residuals/X_1876-5.wav,set12/0/residuals/A_2086-36.wav,set12/0/residuals/B_1951-23.wav,A-,A-,A-,A-,19965
2182,ex202404,user52,set12/3/guitar/X_1903-42.wav,set12/3/guitar/A_2088-43.wav,set12/3/guitar/B_2038-54.wav,A-,A-,A-,A-,20797
2184,ex202404,user52,set12/3/piano/X_1903-23.wav,set12/3/piano/A_2088-36.wav,set12/3/piano/B_2038-16.wav,A-,A-,A-,A-,19147
2185,ex202404,user52,set12/3/drums/X_1903-36.wav,set12/3/drums/A_2088-37.wav,set12/3/drums/B_2038-37.wav,B-,A-,A-,A-,20775
2188,ex202404,user52,set12/3/bass/X_1903-26.wav,set12/3/bass/A_2088-38.wav,set12/3/bass/B_2038-13.wav,B-,A-,A-,A-,24834
2189,ex202404,user52,set12/1/piano/X_2026-29.wav,set12/1/piano/A_2042-36.wav,set12/1/piano/B_1886-18.wav,B-,A-,A-,A-,25112
2191,ex202404,user52,set12/2/piano/X_2081-4.wav,set12/2/piano/A_1972-55.wav,set12/2/piano/B_1996-23.wav,A-,A+,A-,A-,28825
2193,ex202404,user52,set12/0/piano/X_1876-23.wav,set12/0/piano/A_2086-3.wav,set12/0/piano/B_1951-5.wav,B-,A-,A-,A-,19460
2197,ex202404,user52,set12/1/residuals/X_2026-7.wav,set12/1/residuals/A_2042-30.wav,set12/1/residuals/B_1886-44.wav,A-,A-,A-,A-,27206
2200,ex202404,user52,set12/3/residuals/X_1903-1.wav,set12/3/residuals/A_2088-26.wav,set12/3/residuals/B_2038-34.wav,A-,A-,A-,A-,39146
2201,ex202404,user52,set12/0/bass/X_1876-18.wav,set12/0/bass/A_2086-30.wav,set12/0/bass/B_1951-24.wav,A-,A+,A-,A-,19980
2203,ex202404,user52,set12/1/drums/X_2026-25.wav,set12/1/drums/A_2042-27.wav,set12/1/drums/B_1886-38.wav,A-,A-,A-,A-,23023
2204,ex202404,user52,set12/2/drums/X_2081-13.wav,set12/2/drums/A_1972-12.wav,set12/2/drums/B_1996-29.wav,A+,A-,A-,A-,36934
2206,ex202404,user52,set12/2/guitar/X_2081-35.wav,set12/2/guitar/A_1972-59.wav,set12/2/guitar/B_1996-2.wav,A-,A+,A+,A+,20406
2211,ex202404,user53,set58/0/bass/X_2087-37.wav,set58/0/bass/A_1995-32.wav,set58/0/bass/B_1994-19.wav,A+,A+,A-,A+,47066
2212,ex202404,user53,set58/0/guitar/X_2087-12.wav,set58/0/guitar/A_1995-39.wav,set58/0/guitar/B_1994-11.wav,B-,B+,B-,B-,41333
2215,ex202404,user53,set58/0/drums/X_2087-33.wav,set58/0/drums/A_1995-7.wav,set58/0/drums/B_1994-24.wav,A-,B+,NA,A-,76330
2216,ex202404,user53,set58/1/piano/X_2002-13.wav,set58/1/piano/A_2045-4.wav,set58/1/piano/B_1995-46.wav,NA,NA,A-,A-,46332
2217,ex202404,user53,set58/1/bass/X_2002-18.wav,set58/1/bass/A_2045-15.wav,set58/1/bass/B_1995-16.wav,NA,NA,B-,B-,52744
2218,ex202404,user53,set58/1/residuals/X_2002-15.wav,set58/1/residuals/A_2045-22.wav,set58/1/residuals/B_1995-16.wav,B-,B+,B-,B+,28628
2223,ex202404,user53,set58/3/piano/X_1961-20.wav,set58/3/piano/A_2004-20.wav,set58/3/piano/B_2019-56.wav,B-,B-,B-,B-,41237
2224,ex202404,user53,set58/3/bass/X_1961-43.wav,set58/3/bass/A_2004-11.wav,set58/3/bass/B_2019-14.wav,A+,A-,A-,A-,30859
2227,ex202404,user53,set58/2/guitar/X_1945-34.wav,set58/2/guitar/A_1986-18.wav,set58/2/guitar/B_2079-7.wav,NA,NA,B-,B-,48086
2229,ex202404,user53,set58/2/drums/X_1945-36.wav,set58/2/drums/A_1986-22.wav,set58/2/drums/B_2079-21.wav,A+,A+,NA,A+,26162
2231,ex202404,user53,set58/3/drums/X_1961-42.wav,set58/3/drums/A_2004-31.wav,set58/3/drums/B_2019-33.wav,A+,A+,NA,A+,19260
2232,ex202404,user53,set58/1/guitar/X_2002-47.wav,set58/1/guitar/A_2045-27.wav,set58/1/guitar/B_1995-29.wav,A-,B-,NA,A-,35499
2233,ex202404,user53,set58/2/residuals/X_1945-16.wav,set58/2/residuals/A_1986-43.wav,set58/2/residuals/B_2079-25.wav,NA,NA,A-,A-,33118
2241,ex202404,user53,set58/2/bass/X_1945-11.wav,set58/2/bass/A_1986-14.wav,set58/2/bass/B_2079-22.wav,A+,A+,A-,A+,27951
2242,ex202404,user53,set58/0/piano/X_2087-19.wav,set58/0/piano/A_1995-17.wav,set58/0/piano/B_1994-22.wav,B-,NA,B-,B-,40086
2243,ex202404,user53,set58/2/piano/X_1945-36.wav,set58/2/piano/A_1986-40.wav,set58/2/piano/B_2079-25.wav,A-,A+,A+,A+,29951
2246,ex202404,user53,set58/3/residuals/X_1961-67.wav,set58/3/residuals/A_2004-20.wav,set58/3/residuals/B_2019-36.wav,NA,A-,A-,A-,25653
2247,ex202404,user53,set58/3/guitar/X_1961-11.wav,set58/3/guitar/A_2004-26.wav,set58/3/guitar/B_2019-49.wav,B+,B-,B-,B+,21318
2248,ex202404,user53,set58/0/residuals/X_2087-14.wav,set58/0/residuals/A_1995-34.wav,set58/0/residuals/B_1994-21.wav,NA,NA,A-,A-,47783
2249,ex202404,user53,set58/1/drums/X_2002-37.wav,set58/1/drums/A_2045-32.wav,set58/1/drums/B_1995-45.wav,B+,B-,NA,B+,24761
2256,ex202404,user54,set56/2/piano/X_1932-46.wav,set56/2/piano/A_2051-20.wav,set56/2/piano/B_1959-37.wav,B-,B-,NA,B-,69173
2257,ex202404,user54,set56/1/guitar/X_2049-8.wav,set56/1/guitar/A_1931-8.wav,set56/1/guitar/B_1990-59.wav,NA,B-,NA,B-,25360
2258,ex202404,user54,set56/1/drums/X_2049-18.wav,set56/1/drums/A_1931-13.wav,set56/1/drums/B_1990-60.wav,NA,B-,A-,A-,31621
2259,ex202404,user54,set56/3/drums/X_2096-11.wav,set56/3/drums/A_1889-15.wav,set56/3/drums/B_2046-31.wav,A-,NA,NA,A-,46049
2261,ex202404,user54,set56/2/residuals/X_1932-48.wav,set56/2/residuals/A_2051-31.wav,set56/2/residuals/B_1959-32.wav,A-,A-,A-,A-,28185
2262,ex202404,user54,set56/2/drums/X_1932-42.wav,set56/2/drums/A_2051-24.wav,set56/2/drums/B_1959-9.wav,A-,B-,NA,B-,72856
2265,ex202404,user54,set56/3/residuals/X_2096-20.wav,set56/3/residuals/A_1889-18.wav,set56/3/residuals/B_2046-39.wav,NA,NA,A-,A-,23946
2266,ex202404,user54,set56/1/residuals/X_2049-17.wav,set56/1/residuals/A_1931-6.wav,set56/1/residuals/B_1990-31.wav,NA,NA,B-,B-,40358
2269,ex202404,user54,set56/0/residuals/X_1981-25.wav,set56/0/residuals/A_1994-32.wav,set56/0/residuals/B_1975-35.wav,A-,A-,NA,B-,36701
2270,ex202404,user54,set56/0/piano/X_1981-3.wav,set56/0/piano/A_1994-34.wav,set56/0/piano/B_1975-31.wav,B-,NA,B-,B-,33970
2274,ex202404,user54,set56/0/guitar/X_1981-23.wav,set56/0/guitar/A_1994-13.wav,set56/0/guitar/B_1975-22.wav,A-,A-,A-,A-,25643
2277,ex202404,user54,set56/1/piano/X_2049-4.wav,set56/1/piano/A_1931-21.wav,set56/1/piano/B_1990-83.wav,A-,B-,B-,B-,32733
2278,ex202404,user54,set56/0/bass/X_1981-45.wav,set56/0/bass/A_1994-19.wav,set56/0/bass/B_1975-42.wav,B-,A-,A-,B-,31231
2279,ex202404,user54,set56/1/bass/X_2049-29.wav,set56/1/bass/A_1931-27.wav,set56/1/bass/B_1990-12.wav,NA,NA,B-,B-,30881
2280,ex202404,user54,set56/2/guitar/X_1932-47.wav,set56/2/guitar/A_2051-18.wav,set56/2/guitar/B_1959-49.wav,NA,A-,A-,A-,29523
2281,ex202404,user54,set56/2/bass/X_1932-23.wav,set56/2/bass/A_2051-15.wav,set56/2/bass/B_1959-35.wav,B+,B-,B-,B-,28297
2283,ex202404,user54,set56/3/guitar/X_2096-29.wav,set56/3/guitar/A_1889-11.wav,set56/3/guitar/B_2046-29.wav,A+,B+,A+,A-,26781
2284,ex202404,user54,set56/3/piano/X_2096-10.wav,set56/3/piano/A_1889-30.wav,set56/3/piano/B_2046-28.wav,A-,B-,B-,B-,28581
2286,ex202404,user54,set56/0/drums/X_1981-30.wav,set56/0/drums/A_1994-24.wav,set56/0/drums/B_1975-48.wav,A-,A-,A+,A-,29017
2287,ex202404,user54,set56/3/bass/X_2096-17.wav,set56/3/bass/A_1889-49.wav,set56/3/bass/B_2046-29.wav,NA,A-,A-,A-,31082
2293,ex202404,user55,set59/1/drums/X_1998-39.wav,set59/1/drums/A_1955-37.wav,set59/1/drums/B_1889-35.wav,B-,B-,B-,B-,38393
2296,ex202404,user55,set59/2/piano/X_2001-55.wav,set59/2/piano/A_1978-13.wav,set59/2/piano/B_2052-30.wav,A-,A-,A-,A-,25868
2300,ex202404,user55,set59/1/piano/X_1998-34.wav,set59/1/piano/A_1955-39.wav,set59/1/piano/B_1889-44.wav,NA,B-,B-,B-,22120
2302,ex202404,user55,set59/0/residuals/X_2090-12.wav,set59/0/residuals/A_2031-56.wav,set59/0/residuals/B_2042-24.wav,NA,NA,A-,A-,28650
2305,ex202404,user55,set59/3/bass/X_2042-10.wav,set59/3/bass/A_2063-53.wav,set59/3/bass/B_1975-49.wav,NA,NA,A-,A-,33027
2306,ex202404,user55,set59/3/residuals/X_2042-12.wav,set59/3/residuals/A_2063-61.wav,set59/3/residuals/B_1975-48.wav,NA,NA,B-,B-,22028
2307,ex202404,user55,set59/1/guitar/X_1998-38.wav,set59/1/guitar/A_1955-37.wav,set59/1/guitar/B_1889-30.wav,B-,NA,NA,B-,22024
2311,ex202404,user55,set59/2/bass/X_2001-28.wav,set59/2/bass/A_1978-37.wav,set59/2/bass/B_2052-12.wav,A-,A-,A-,A-,19979
2313,ex202404,user55,set59/0/guitar/X_2090-24.wav,set59/0/guitar/A_2031-29.wav,set59/0/guitar/B_2042-46.wav,NA,B-,B+,B-,22910
2314,ex202404,user55,set59/3/guitar/X_2042-26.wav,set59/3/guitar/A_2063-55.wav,set59/3/guitar/B_1975-31.wav,NA,B-,B-,B-,21705
2315,ex202404,user55,set59/2/guitar/X_2001-72.wav,set59/2/guitar/A_1978-19.wav,set59/2/guitar/B_2052-14.wav,NA,NA,B-,B-,31352
2316,ex202404,user55,set59/1/residuals/X_1998-12.wav,set59/1/residuals/A_1955-34.wav,set59/1/residuals/B_1889-12.wav,B-,B+,B+,B+,19950
2319,ex202404,user55,set59/0/piano/X_2090-41.wav,set59/0/piano/A_2031-36.wav,set59/0/piano/B_2042-1.wav,NA,NA,B-,B-,21069
2320,ex202404,user55,set59/3/drums/X_2042-4.wav,set59/3/drums/A_2063-19.wav,set59/3/drums/B_1975-40.wav,B-,NA,B-,B-,20951
2326,ex202404,user55,set59/2/drums/X_2001-71.wav,set59/2/drums/A_1978-48.wav,set59/2/drums/B_2052-9.wav,B-,B-,B-,B-,19956
2327,ex202404,user55,set59/2/residuals/X_2001-47.wav,set59/2/residuals/A_1978-57.wav,set59/2/residuals/B_2052-39.wav,NA,NA,B-,B-,21493
2329,ex202404,user55,set59/3/piano/X_2042-14.wav,set59/3/piano/A_2063-8.wav,set59/3/piano/B_1975-4.wav,NA,NA,B-,B-,23528
2330,ex202404,user55,set59/0/drums/X_2090-3.wav,set59/0/drums/A_2031-46.wav,set59/0/drums/B_2042-7.wav,NA,B-,B-,B-,25895
2331,ex202404,user55,set59/0/bass/X_2090-12.wav,set59/0/bass/A_2031-57.wav,set59/0/bass/B_2042-43.wav,A-,B-,B-,B-,18419
2334,ex202404,user55,set59/1/bass/X_1998-7.wav,set59/1/bass/A_1955-29.wav,set59/1/bass/B_1889-36.wav,B-,NA,NA,B-,22350
2336,ex202404,user10,set15/1/piano/X_1977-30.wav,set15/1/piano/A_1902-7.wav,set15/1/piano/B_2050-5.wav,A+,B-,A-,A-,24223
2339,ex202404,user10,set15/3/piano/X_2016-39.wav,set15/3/piano/A_1990-28.wav,set15/3/piano/B_2030-4.wav,B-,B+,B+,B+,19207
2341,ex202404,user10,set15/3/residuals/X_2016-29.wav,set15/3/residuals/A_1990-42.wav,set15/3/residuals/B_2030-57.wav,A-,B-,B+,B-,20635
2342,ex202404,user10,set15/1/bass/X_1977-11.wav,set15/1/bass/A_1902-32.wav,set15/1/bass/B_2050-2.wav,A+,A-,B+,A-,20642
2344,ex202404,user10,set15/0/bass/X_1925-31.wav,set15/0/bass/A_1986-8.wav,set15/0/bass/B_1898-29.wav,A-,B-,A+,A-,23899
2346,ex202404,user10,set15/0/residuals/X_1925-6.wav,set15/0/residuals/A_1986-7.wav,set15/0/residuals/B_1898-31.wav,A+,B-,B+,B-,22834
2348,ex202404,user10,set15/3/guitar/X_2016-45.wav,set15/3/guitar/A_1990-76.wav,set15/3/guitar/B_2030-62.wav,B-,A+,A-,A-,21885
2349,ex202404,user10,set15/3/bass/X_2016-49.wav,set15/3/bass/A_1990-15.wav,set15/3/bass/B_2030-32.wav,A-,A+,A+,A+,25163
2350,ex202404,user10,set15/1/drums/X_1977-40.wav,set15/1/drums/A_1902-48.wav,set15/1/drums/B_2050-43.wav,B-,A+,A-,A-,20789
2351,ex202404,user10,set15/2/bass/X_1882-39.wav,set15/2/bass/A_1990-12.wav,set15/2/bass/B_1897-27.wav,B+,A-,A+,A-,23467
2353,ex202404,user10,set15/0/guitar/X_1925-2.wav,set15/0/guitar/A_1986-54.wav,set15/0/guitar/B_1898-35.wav,B-,A+,A+,A-,19978
2357,ex202404,user10,set15/1/guitar/X_1977-31.wav,set15/1/guitar/A_1902-15.wav,set15/1/guitar/B_2050-22.wav,B+,A+,A-,B-,20782
2359,ex202404,user10,set15/1/residuals/X_1977-40.wav,set15/1/residuals/A_1902-37.wav,set15/1/residuals/B_2050-39.wav,A-,A+,A+,A+,20513
2362,ex202404,user10,set15/0/piano/X_1925-16.wav,set15/0/piano/A_1986-32.wav,set15/0/piano/B_1898-5.wav,A+,A-,A+,A+,24426
2363,ex202404,user10,set15/2/piano/X_1882-24.wav,set15/2/piano/A_1990-34.wav,set15/2/piano/B_1897-26.wav,A+,B-,B-,B-,21261
2368,ex202404,user10,set15/0/drums/X_1925-27.wav,set15/0/drums/A_1986-49.wav,set15/0/drums/B_1898-18.wav,A+,B-,A-,A-,20842
2369,ex202404,user10,set15/2/guitar/X_1882-9.wav,set15/2/guitar/A_1990-13.wav,set15/2/guitar/B_1897-25.wav,A-,B-,B+,B-,20338
2370,ex202404,user10,set15/2/residuals/X_1882-2.wav,set15/2/residuals/A_1990-16.wav,set15/2/residuals/B_1897-43.wav,A-,A-,B-,A-,20359
2371,ex202404,user10,set15/2/drums/X_1882-42.wav,set15/2/drums/A_1990-53.wav,set15/2/drums/B_1897-47.wav,A-,A+,A+,A+,22020
2372,ex202404,user10,set15/3/drums/X_2016-15.wav,set15/3/drums/A_1990-48.wav,set15/3/drums/B_2030-9.wav,B-,B+,B+,B+,21596
2378,ex202404,user1,set52/2/guitar/X_2094-36.wav,set52/2/guitar/A_2049-25.wav,set52/2/guitar/B_2079-6.wav,NA,NA,B-,B-,79543
2381,ex202404,user1,set52/1/drums/X_1898-56.wav,set52/1/drums/A_1952-39.wav,set52/1/drums/B_1932-15.wav,NA,NA,B-,B-,53063
2383,ex202404,user1,set52/2/bass/X_2094-22.wav,set52/2/bass/A_2049-30.wav,set52/2/bass/B_2079-26.wav,A-,NA,NA,A-,38365
2386,ex202404,user1,set52/1/piano/X_1898-46.wav,set52/1/piano/A_1952-35.wav,set52/1/piano/B_1932-14.wav,NA,A-,A-,A-,40201
2387,ex202404,user1,set52/3/residuals/X_1889-44.wav,set52/3/residuals/A_1974-40.wav,set52/3/residuals/B_2093-23.wav,NA,NA,A-,A-,45833
2389,ex202404,user1,set52/1/bass/X_1898-44.wav,set52/1/bass/A_1952-17.wav,set52/1/bass/B_1932-23.wav,B+,NA,B-,B-,25567
2390,ex202404,user1,set52/1/residuals/X_1898-41.wav,set52/1/residuals/A_1952-26.wav,set52/1/residuals/B_1932-39.wav,NA,A-,NA,A-,40815
2392,ex202404,user1,set52/3/drums/X_1889-3.wav,set52/3/drums/A_1974-22.wav,set52/3/drums/B_2093-32.wav,NA,NA,B-,B-,39982
2393,ex202404,user1,set52/0/guitar/X_1990-61.wav,set52/0/guitar/A_1881-15.wav,set52/0/guitar/B_1902-37.wav,NA,A-,NA,A-,32438
2394,ex202404,user1,set52/2/piano/X_2094-34.wav,set52/2/piano/A_2049-37.wav,set52/2/piano/B_2079-30.wav,NA,NA,B-,B-,78478
2397,ex202404,user1,set52/3/guitar/X_1889-9.wav,set52/3/guitar/A_1974-8.wav,set52/3/guitar/B_2093-14.wav,A-,A-,A-,A-,35925
2401,ex202404,user1,set52/3/piano/X_1889-2.wav,set52/3/piano/A_1974-20.wav,set52/3/piano/B_2093-31.wav,NA,NA,A-,A-,52167
2403,ex202404,user1,set52/0/piano/X_1990-66.wav,set52/0/piano/A_1881-23.wav,set52/0/piano/B_1902-46.wav,A-,NA,NA,A-,29828
2404,ex202404,user1,set52/0/residuals/X_1990-29.wav,set52/0/residuals/A_1881-67.wav,set52/0/residuals/B_1902-13.wav,NA,A-,NA,A-,32996
2405,ex202404,user1,set52/0/drums/X_1990-59.wav,set52/0/drums/A_1881-30.wav,set52/0/drums/B_1902-43.wav,B+,NA,B-,B-,46427
2412,ex202404,user1,set52/2/residuals/X_2094-15.wav,set52/2/residuals/A_2049-3.wav,set52/2/residuals/B_2079-14.wav,NA,B-,NA,B-,30702
2413,ex202404,user1,set52/0/bass/X_1990-35.wav,set52/0/bass/A_1881-43.wav,set52/0/bass/B_1902-31.wav,A-,NA,NA,A-,31506
2414,ex202404,user1,set52/3/bass/X_1889-23.wav,set52/3/bass/A_1974-16.wav,set52/3/bass/B_2093-11.wav,A+,A-,NA,A-,31257
2415,ex202404,user1,set52/1/guitar/X_1898-21.wav,set52/1/guitar/A_1952-26.wav,set52/1/guitar/B_1932-19.wav,NA,NA,A-,A-,33625
2418,ex202404,user1,set52/2/drums/X_2094-10.wav,set52/2/drums/A_2049-11.wav,set52/2/drums/B_2079-32.wav,A-,NA,NA,A-,90658
2420,ex202404,user56,set10/2/bass/X_2005-35.wav,set10/2/bass/A_2030-7.wav,set10/2/bass/B_2013-61.wav,A-,A-,B-,A-,37148
2421,ex202404,user56,set10/2/residuals/X_2005-1.wav,set10/2/residuals/A_2030-24.wav,set10/2/residuals/B_2013-68.wav,A+,A+,A+,A+,20352
2424,ex202404,user56,set10/1/piano/X_1962-26.wav,set10/1/piano/A_1925-3.wav,set10/1/piano/B_1927-39.wav,B-,B-,B-,B-,31340
2425,ex202404,user56,set10/2/guitar/X_2005-30.wav,set10/2/guitar/A_2030-35.wav,set10/2/guitar/B_2013-45.wav,NA,B-,B-,B-,26390
2428,ex202404,user56,set10/3/drums/X_2019-20.wav,set10/3/drums/A_2074-14.wav,set10/3/drums/B_1920-38.wav,A-,A-,A-,A-,19975
2433,ex202404,user56,set10/0/piano/X_2053-20.wav,set10/0/piano/A_2018-21.wav,set10/0/piano/B_1892-18.wav,A-,NA,NA,A-,27842
2434,ex202404,user56,set10/2/piano/X_2005-33.wav,set10/2/piano/A_2030-24.wav,set10/2/piano/B_2013-25.wav,B-,B-,B-,B-,31656
2435,ex202404,user56,set10/1/drums/X_1962-33.wav,set10/1/drums/A_1925-25.wav,set10/1/drums/B_1927-23.wav,A-,NA,A-,A-,23461
2436,ex202404,user56,set10/3/piano/X_2019-24.wav,set10/3/piano/A_2074-20.wav,set10/3/piano/B_1920-26.wav,NA,B-,NA,B-,24056
2438,ex202404,user56,set10/1/residuals/X_1962-19.wav,set10/1/residuals/A_1925-26.wav,set10/1/residuals/B_1927-23.wav,NA,NA,A-,A-,34694
2439,ex202404,user56,set10/1/guitar/X_1962-34.wav,set10/1/guitar/A_1925-7.wav,set10/1/guitar/B_1927-36.wav,A-,A-,A-,A-,22958
